Region,Year,Broad Category,COFOG Division,COFOG Division Name,COFOG Basis,Original Code,Original Name (native language),English Translation,Commitment (EUR '000),Payment (EUR '000),Notes
Flanders,2025,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",SO,Ontwikkelingssamenwerking,Development cooperation,20021,20173,
Flanders,2025,General Administration,01,General public services,"Approximated (Claude, Division-level only)",SA,Apparaatskredieten,Operating credits (general governance administration),323824,326442,
Flanders,2025,General Administration,01,General public services,"Approximated (Claude, Division-level only)",SE,Ondersteuning Vlaamse Regering,Support to the Flemish Government,22605,17704,
Flanders,2025,General Administration,01,General public services,"Approximated (Claude, Division-level only)",VE,Algemene werkingskosten Vl. Regering,General operating costs of the Flemish Government,2538,2538,
Flanders,2025,Government Cabinet(s),01,General public services,"Approximated (Claude, Division-level only)",VF-VO,Kabinetten (9–10 ministers),Ministerial Cabinets (9–10 ministers),n/q — see Notes,n/q — see Notes,"NOT QUANTIFIED: source gives only an approximate per-cabinet range (~2,700–5,750 thousand EUR each), not a summable total. Do not estimate a total from this range."
Flanders,2025,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SG,Brussel,Brussels (Flemish Community affairs in Brussels),54766,56283,[COFOG] Intergovernmental/domestic affairs — general public services n.e.c.
Flanders,2025,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SH,Vlaamse Rand,Flemish Periphery (around Brussels),15449,19579,[COFOG] Intergovernmental/domestic affairs — general public services n.e.c.
Flanders,2025,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SM,Binnenlands bestuur/stedenbeleid,Home affairs / urban policy,4875477,4879152,"[COFOG] COFOG 01.8 — transfers of a general character to local government, the standard classification for this function."
Flanders,2025,Parliament/Legislature,01,General public services,"Approximated (Claude, Division-level only)",VD,Vlaams Parlement,Flemish Parliament,117613,117613,
Flanders,2025,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",SJ,Digitalisering,Digitalisation,106838,107413,
Flanders,2025,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",SK,Interne dienstverlening,Internal service delivery,276601,273547,
Flanders,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",SD,Justitie en handhaving,Justice and enforcement,16591,17511,No dedicated Justice bucket in the shared taxonomy; grouped with Home Affairs as closest fit.
Flanders,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",SI,Rampenschade,Disaster damage,922,922,[COFOG] Disaster/civil protection — closest COFOG fit.
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TA,Apparaatskredieten,Operating credits (Economy/Work/Innovation administration),190210,187465,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TC,Economie,Economy,984507,791391,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TD,Werk,Employment,2609638,2614920,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TE,Wetenschappelijk onderzoek,Scientific research,811030,837497,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TF,Innovatie,Innovation,457522,469022,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TH,Sociale economie,Social economy,721173,730391,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TI,Competenties,Competencies (workforce skills),257934,257934,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TJ,Landbouw en zeevisserij,Agriculture and sea fisheries,167577,150279,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TK,Promotie landbouw/tuinbouw/zeevisserij,Promotion of agriculture/horticulture/sea fisheries,5716,5716,
Flanders,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TL,Wetenschapscommunicatie,Science communication,11611,11703,
Flanders,2025,"Environment, Housing & Energy",04,Economic affairs,"Approximated (Claude, Division-level only)",QE,Energie,Energy,955804,964710,"[COFOG] Energy sits in COFOG 04 (Economic affairs), a DIFFERENT division from the rest of Flanders' own 'Omgeving' administrative domain (05) — split correctly here."
Flanders,2025,Foreign Affairs & International,04,Economic affairs,"Approximated (Claude, Division-level only)",SP,Internationaal ondernemen,International enterprise,65403,66125,[COFOG] International trade/enterprise promotion — Economic affairs.
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MA,Apparaatskredieten,Operating credits (Mobility administration),178551,178541,
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MD,Luchtgebonden mobiliteit,Air mobility,17800,24153,
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",ME,Gemeenschappelijk vervoer,Public transport,1890920,1548659,
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MF,Algemeen mobiliteitsbeleid,General mobility policy,382812,193595,
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MH,Weggebonden mobiliteit,Road mobility,1131897,1374438,
Flanders,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MI,Watergebonden mobiliteit,Water-based mobility,946491,975138,
Flanders,2025,Tourism,04,Economic affairs,"Approximated (Claude, Division-level only)",SQ,Toerisme,Tourism,71690,66260,
Flanders,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QA,Apparaatskredieten,Operating credits (Environment administration),243762,244052,
Flanders,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QC,Omgeving en natuur,Environment and nature,675869,685742,
Flanders,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QF,Dierenwelzijn,Animal welfare,6836,7081,No dedicated taxonomy bucket for animal welfare; grouped here as closest fit. | [COFOG] No dedicated COFOG line for animal welfare; Environmental protection is closest fit.
Flanders,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QH,Klimaat,Climate,290498,434481,
Flanders,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",QD,Wonen,Housing,417139,415410,"[COFOG] Housing sits in COFOG 06, a DIFFERENT division from the rest of Flanders' own 'Omgeving' administrative domain (05) — split correctly here since PR-code granularity allows it."
Flanders,2025,Health & Social Welfare/Care,07,Health,"Approximated (Claude, Division-level only)",GD,Gezondheids- en woonzorg,Health and residential care,304554,310992,Discontinued in 2026 — merged into GC 'Zorg'. | [COFOG] BLENDED: residential/nursing care spans Health (07) and Old age (10); primary = 07. Discontinued in 2026 (merged into GC).
Flanders,2025,Health & Social Welfare/Care,07,Health,"Approximated (Claude, Division-level only)",GI,Zorginfrastructuur,Care infrastructure,810089,790689,[COFOG] BLENDED: care infrastructure spans Health (07) and Social protection (10); primary = 07.
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HA,Apparaatskredieten,Operating credits (Culture/Youth/Sport/Media administration),29558,29558,
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HB,Beleidsveldoverschrijdend,Cross-policy-field,252327,147188,
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HC,Cultuur,Culture,517114,518547,
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HD,Jeugd,Youth,69814,70190,
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HE,Media,Media,398475,398475,
Flanders,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HF,Sport,Sport,182454,184018,
Flanders,2025,"Environment, Housing & Energy",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",QG,Onroerend erfgoed,Immovable heritage,158122,134944,"Heritage sits administratively within Flanders' 'Omgeving' (Environment/spatial-planning) domain rather than the Culture domain — flagged since it could arguably belong under Culture instead. | [COFOG] COFOG classifies immovable heritage under Culture (08.2), a DIFFERENT division from the rest of Flanders' own 'Omgeving' domain (05) — split correctly here."
Flanders,2025,Education,09,Education,"Approximated (Claude, Division-level only)",FA,Apparaatskredieten,Operating credits (Education administration),81189,81374,
Flanders,2025,Education,09,Education,"Approximated (Claude, Division-level only)",FD,Kleuter- en leerplichtonderwijs,Kindergarten and compulsory education,11570056,11570056,
Flanders,2025,Education,09,Education,"Approximated (Claude, Division-level only)",FE,Hoger onderwijs,Higher education,2625914,2625914,
Flanders,2025,Education,09,Education,"Approximated (Claude, Division-level only)",FF,Deeltijds kunst-/volwassenenonderwijs,Part-time arts education / adult education,913394,913394,
Flanders,2025,Education,09,Education,"Approximated (Claude, Division-level only)",FG,Ondersteuning onderwijsveld,Support for the education sector,1328911,1289895,
Flanders,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",GA,Apparaatskredieten,Operating credits (Welfare/Health administration),192694,193147,[COFOG] BLENDED: Welfare/Health administration; primary = 10 Social protection.
Flanders,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",GC,Welzijn (2025) / Zorg (2026),Welfare (2025) / Care (2026),597312,622301,2025's separate Welzijn / Gezondheids-woonzorg (GD) / Sociale bescherming (GH) domains were merged into this single 'Zorg' domain in 2026 — do not naively compare 2025 vs 2026 code-to-code. | [COFOG] BLENDED: covers both welfare/social-protection and care/health aspects; primary = 10.
Flanders,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",GE,Opgroeien,Growing Up (child & family agency),7255875,7255690,
Flanders,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",GG,Personen met een beperking,People with disabilities,2991680,2726246,
Flanders,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",GH,Sociale bescherming,Social protection,5314231,5317398,Bulk of this domain's 2025 value was folded into GC 'Zorg' in 2026 — see reorganisation note.
Flanders,2025,Local Governments & Home Affairs,10,Social protection,"Approximated (Claude, Division-level only)",SF,Gelijke kansen/integratie/inburgering,Equal opportunities / integration / civic integration,135676,134773,Approximate fit — no dedicated bucket for equal opportunities/integration. | [COFOG] Approximate — no dedicated COFOG/taxonomy line for integration/equal opportunities.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",CB,Provisies,Provisions,1069761,1606551,[COFOG] Reserve/provision.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",FB,Provisies,Provisions,343474,325613,[COFOG] Reserve/provision.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",GB,Provisies,Provisions,0,0,[COFOG] Reserve/provision.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",SB,Provisies/beleidsveldoverschrijdend,Provisions / cross-policy-field,0,0,[COFOG] Reserve/provision.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",TB,Provisies,Provisions,91239,67807,[COFOG] Reserve/provision.
Flanders,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",VB,Provisies,Provisions,635,635,[COFOG] Reserve/provision.
Flanders,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CA,Apparaatskredieten,Operating credits (Finance & Budget administration),97419,98328,
Flanders,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CC,Budgettair beleid,Budgetary policy,725218,725218,
Flanders,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CD,Fiscaliteit,Taxation,1448782,1449282,
Flanders,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CE,Financiële operaties,Financial operations,6657345,5804088,[COFOG] Primarily debt/treasury operations (01.7); approximate.
Flanders,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CF,Boekhouding,Accounting,7071,7134,
Flanders,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",SN,Buitenlands beleid,Foreign policy,8966,8966,
Flanders,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",SO,Ontwikkelingssamenwerking,Development cooperation,4790,4942,
Flanders,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",SA,Apparaatskredieten,Operating credits (general governance administration),417145,420026,
Flanders,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",SE,Ondersteuning Vlaamse Regering,Support to the Flemish Government,9140,9240,
Flanders,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",VE,Algemene werkingskosten Vl. Regering,General operating costs of the Flemish Government,3086,3086,
Flanders,2026,Government Cabinet(s),01,General public services,"Approximated (Claude, Division-level only)",VF-VO,Kabinetten (9–10 ministers),Ministerial Cabinets (9–10 ministers),n/q — see Notes,n/q — see Notes,"NOT QUANTIFIED: source gives only an approximate per-cabinet range (~2,700–5,750 thousand EUR each), not a summable total. Do not estimate a total from this range."
Flanders,2026,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SG,Brussel,Brussels (Flemish Community affairs in Brussels),52679,53536,[COFOG] Intergovernmental/domestic affairs — general public services n.e.c.
Flanders,2026,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SH,Vlaamse Rand,Flemish Periphery (around Brussels),14675,18805,[COFOG] Intergovernmental/domestic affairs — general public services n.e.c.
Flanders,2026,Local Governments & Home Affairs,01,General public services,"Approximated (Claude, Division-level only)",SM,Binnenlands bestuur/stedenbeleid,Home affairs / urban policy,4870558,4873326,"[COFOG] COFOG 01.8 — transfers of a general character to local government, the standard classification for this function."
Flanders,2026,Parliament/Legislature,01,General public services,"Approximated (Claude, Division-level only)",VD,Vlaams Parlement,Flemish Parliament,129829,129829,
Flanders,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",SJ,Digitalisering,Digitalisation,130929,130929,
Flanders,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",SK,Interne dienstverlening,Internal service delivery,295945,270585,
Flanders,2026,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",SD,Justitie en handhaving,Justice and enforcement,53519,70060,No dedicated Justice bucket in the shared taxonomy; grouped with Home Affairs as closest fit.
Flanders,2026,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",SI,Rampenschade,Disaster damage,774,774,[COFOG] Disaster/civil protection — closest COFOG fit.
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TA,Apparaatskredieten,Operating credits (Economy/Work/Innovation administration),194028,191283,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TC,Economie,Economy,877964,656444,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TD,Werk,Employment,2490167,2484066,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TE,Wetenschappelijk onderzoek,Scientific research,936590,825180,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TF,Innovatie,Innovation,465525,484675,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TH,Sociale economie,Social economy,764871,765000,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TI,Competenties,Competencies (workforce skills),255183,255338,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TJ,Landbouw en zeevisserij,Agriculture and sea fisheries,153689,136743,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TK,Promotie landbouw/tuinbouw/zeevisserij,Promotion of agriculture/horticulture/sea fisheries,5659,5659,
Flanders,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",TL,Wetenschapscommunicatie,Science communication,12050,12293,
Flanders,2026,"Environment, Housing & Energy",04,Economic affairs,"Approximated (Claude, Division-level only)",QE,Energie,Energy,475611,485994,"[COFOG] Energy sits in COFOG 04 (Economic affairs), a DIFFERENT division from the rest of Flanders' own 'Omgeving' administrative domain (05) — split correctly here."
Flanders,2026,Foreign Affairs & International,04,Economic affairs,"Approximated (Claude, Division-level only)",SP,Internationaal ondernemen,International enterprise,64806,64413,[COFOG] International trade/enterprise promotion — Economic affairs.
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MA,Apparaatskredieten,Operating credits (Mobility administration),191044,191044,
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MD,Luchtgebonden mobiliteit,Air mobility,17992,22638,
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",ME,Gemeenschappelijk vervoer,Public transport,1439322,1485705,
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MF,Algemeen mobiliteitsbeleid,General mobility policy,341094,128961,
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MH,Weggebonden mobiliteit,Road mobility,1111404,1273352,
Flanders,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",MI,Watergebonden mobiliteit,Water-based mobility,889353,939643,
Flanders,2026,Tourism,04,Economic affairs,"Approximated (Claude, Division-level only)",SQ,Toerisme,Tourism,69429,62399,
Flanders,2026,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QA,Apparaatskredieten,Operating credits (Environment administration),253128,254418,
Flanders,2026,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QC,Omgeving en natuur,Environment and nature,601687,606243,
Flanders,2026,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QF,Dierenwelzijn,Animal welfare,6414,6659,No dedicated taxonomy bucket for animal welfare; grouped here as closest fit. | [COFOG] No dedicated COFOG line for animal welfare; Environmental protection is closest fit.
Flanders,2026,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",QH,Klimaat,Climate,311538,430468,
Flanders,2026,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",QD,Wonen,Housing,339616,345870,"[COFOG] Housing sits in COFOG 06, a DIFFERENT division from the rest of Flanders' own 'Omgeving' administrative domain (05) — split correctly here since PR-code granularity allows it."
Flanders,2026,Health & Social Welfare/Care,07,Health,"Approximated (Claude, Division-level only)",GD,Gezondheids- en woonzorg,Health and residential care,n/q — see Notes,n/q — see Notes,Discontinued in 2026 — merged into GC 'Zorg'. Not applicable this year (domain discontinued/reorganised). | [COFOG] BLENDED: residential/nursing care spans Health (07) and Old age (10); primary = 07. Discontinued in 2026 (merged into GC).
Flanders,2026,Health & Social Welfare/Care,07,Health,"Approximated (Claude, Division-level only)",GI,Zorginfrastructuur,Care infrastructure,748005,718581,[COFOG] BLENDED: care infrastructure spans Health (07) and Social protection (10); primary = 07.
Flanders,2026,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",HA,Apparaatskredieten,Operating credits (Culture/Youth/Sport/Media administration),31035,31035,
